@relation page

@attribute class {none,title,pages,authors,veditor,vtitle}
@attribute fontsize numeric
@attribute weight numeric
@attribute style numeric
@attribute replaced numeric
@attribute nlines numeric
@attribute depth numeric
@attribute tlength numeric
@attribute pdigits numeric
@attribute plower numeric
@attribute pupper numeric
@attribute pspaces numeric
@attribute ppunct numeric
@attribute relx numeric
@attribute rely numeric

@data
none,1,0.145165,0.386046,0,76,3,4093,0.052529,0.692157,0.100904,0.112387,0.027608,?,?
none,1.179864,1,0,0,1,1,20,0.2,0.25,0.35,0,0.05,0.940877,0.004249
none,1.179864,1,0,0,1,0,12,0,0.25,0.5,0,0.083333,0.869934,0.004249
none,1.179864,1,0,0,1,0,8,0.5,0.25,0.125,0,0,0.947842,0.004249
none,0.99357,1,0,0,1,0,22,0.409091,0.363636,0,0,0.136364,0.94246,0.016494
none,0.683079,0,0,0,2,1,177,0.022599,0.779661,0.016949,0.152542,0.016949,0.861224,0.032182
none,0.683079,0,0,0,1,0,146,0.027397,0.767123,0.020548,0.157534,0.013699,0.861224,0.031955
none,0.683079,0,0,0,1,0,31,0,0.83871,0,0.129032,0.032258,0.403442,0.039004
none,0,0,0,0,1,0,0,0,0,0,0,0,1,0.050958
none,1.987139,1,0,0,1,0,7,0.571429,0,0.285714,0,0,0.030246,0.063688
vtitle,1.987139,1,0,0,1,0,17,0,0.823529,0.117647,0.058824,0,0.035398,0.083175
none,1.179864,1,0,0,2,1,142,0.049296,0.711268,0.091549,0.133803,0,0.06544,0.122849
none,1.179864,1,0,0,1,0,66,0.015152,0.787879,0.075758,0.121212,0,0.057971,0.121341
none,1.179864,1,0,0,1,0,76,0.078947,0.644737,0.105263,0.144737,0,0.06544,0.133617
none,1.179864,1,0,0,1,0,51,0.117647,0.529412,0.098039,0.156863,0.098039,0.042724,0.152975
none,0.99357,1,0,0,1,0,9,0,0.777778,0.111111,0.111111,0,0.028571,0.172008
none,1.179864,1,0,0,6,1,241,0,0.647303,0.174274,0.116183,0.053942,0.043478,0.211268
veditor,1.179864,1,0,0,1,0,13,0,0.769231,0.153846,0.076923,0,0.03016,0.1983
none,1.179864,1,0,0,1,0,37,0,0.675676,0.135135,0.108108,0.081081,0.188005,0.1983
veditor,1.179864,1,0,0,1,0,14,0,0.785714,0.142857,0.071429,0,0.03071,0.210576
none,1.179864,1,0,0,1,0,21,0,0.238095,0.428571,0.190476,0.095238,0.181637,0.210576
veditor,1.179864,1,0,0,1,0,8,0,0.625,0.25,0.125,0,0.029064,0.222852
none,1.179864,1,0,0,1,0,22,0,0.545455,0.227273,0.136364,0.090909,0.123494,0.222852
veditor,1.179864,1,0,0,1,0,20,0,0.75,0.15,0.05,0,0.032291,0.235127
none,1.179864,1,0,0,1,0,26,0,0.615385,0.153846,0.153846,0.076923,0.242708,0.235127
veditor,1.179864,1,0,0,1,0,9,0,0.666667,0.222222,0.111111,0,0.028855,0.247403
none,1.179864,1,0,0,1,0,28,0,0.714286,0.107143,0.107143,0.071429,0.123391,0.247403
veditor,1.179864,1,0,0,1,0,11,0,0.727273,0.181818,0.090909,0,0.029767,0.259679
none,1.179864,1,0,0,1,0,32,0,0.71875,0.09375,0.125,0.0625,0.16574,0.259679
none,0,0,0,0,1,0,0,0,0,0,0,0,1,0.27583
none,1.490355,1,0,0,1,0,17,0,0.764706,0.117647,0.117647,0,0.032389,0.289162
none,0.99357,0,0,0,1,1,7,0,0.857143,0.142857,0,0,0.063325,0.311027
none,0.99357,0,0,0,1,0,7,0,0.857143,0.142857,0,0,0.063325,0.311027
none,1.179864,1,0,0,1,0,16,0,0.875,0.0625,0.0625,0,0.031038,0.328612
none,0.99357,0,0.5,0,2,1,88,0,0.784091,0.079545,0.113636,0.022727,0.082664,0.350785
title,0.99357,0,0,0,1,0,44,0,0.863636,0.022727,0.113636,0,0.081818,0.347314
authors,0.99357,0,1,0,1,0,44,0,0.704545,0.136364,0.113636,0.045455,0.082664,0.35721
none,0.99357,0,0.478261,0,2,1,69,0,0.811594,0.072464,0.101449,0.014493,0.076433,0.374108
title,0.99357,0,0,0,1,0,36,0,0.861111,0.027778,0.111111,0,0.076433,0.370405
authors,0.99357,0,1,0,1,0,33,0,0.757576,0.121212,0.090909,0.030303,0.07611,0.380302
none,0.99357,0,0.549618,0,2,1,131,0,0.80916,0.068702,0.099237,0.022901,0.108761,0.39743
title,0.99357,0,0,0,1,0,59,0,0.881356,0.016949,0.101695,0,0.094241,0.393497
authors,0.99357,0,1,0,1,0,72,0,0.75,0.111111,0.097222,0.041667,0.108761,0.403393
none,0.807275,0,0,0,5,2,24,0.791667,0,0,0,0,0.996552,0.393987
none,0.807275,0,0,0,2,1,9,0.777778,0,0,0,0,0.996552,0.366089
pages,0.807275,0,0,0,1,0,4,0.75,0,0,0,0,0.996572,0.357647
pages,0.807275,0,0,0,1,0,5,0.8,0,0,0,0,0.996552,0.380706
pages,0.807275,0,0,0,1,0,5,0.8,0,0,0,0,0.996552,0.403765
