<http://ceur-ws.org/Vol-1563/>;;Model-Driven Engineering on and for the Cloud 2015;;7-Mar-2016;;Proceedings of the 3rd International Workshop on Model-Driven Engineering on and for the Cloud (CloudMDE 2015);;Ottawa, Canada, September 29, 2015
<http://ceur-ws.org/Vol-1562/>;;ZEUS Workshop 2016;;3-Mar-2016;;Proceedings of the 8th ZEUS Workshop (ZEUS 2016);;Vienna, Austria, January 27-28, 2016
<http://ceur-ws.org/Vol-1561/>;;ISEC 2016 Workshops: ModSym & SAAAS;;20-Feb-2016;;Joint Proceedings of the 2nd Modelling Symposium (ModSym) and the;;Goa, India, February 18, 2016
<http://ceur-ws.org/Vol-1560/>;;Executable Modeling 2015;;17-Feb-2016;;Proceedings of the 1st International Workshop on Executable Modeling (EXE 2015);;Ottawa, Canada, September 27, 2015
<http://ceur-ws.org/Vol-1559/>;;Software Engineering Workshops 2016;;17-Feb-2016;;Proceedings of the 1st International Workshop on Executable Modeling (EXE 2015);;Wien, 23.-26. Februar 2016
<http://ceur-ws.org/Vol-1558/>;;EDBT/ICDT Workshops 2016;;17-Feb-2016;;Proceedings of the Workshops of the EDBT/ICDT Joint Conference 2016 (EDBT/ICDT-WS 2016);;Bordeaux, France, March 15, 2016
<http://ceur-ws.org/Vol-1557/>;;Teaching Spatial Thinking from Interdisciplinary Perspectives 2015;;10-Feb-2016;;Proceedings of the Workshop on Teaching Spatial Thinking from Interdisciplinary Perspectives (SPATIALTHINKING2015);;Santa Fe, New Mexico, USA, October 12, 2015
<http://ceur-ws.org/Vol-1556/>;;Joint Proceedings SumPre and HSWI 2015;;08-Feb-2016;;Joint Proceedings of the 1st International Workshop on Summarizing and Presenting Entities and Ontologies (SumPre 2015);;Portoroz, Slovenia, June 1, 2015
<http://ceur-ws.org/Vol-1555/>;;MODELS Educators Symposium 2015;;04-Feb-2016;;Proceedings of the MODELS Educators Symposium (EduSymp 2015);;Ottawa, Canada, September 29, 2015
<http://ceur-ws.org/Vol-1554/>;;MoDELS 2015 - Posters and Demos;;02-Feb-2016;;Proceedings of the MoDELS 2015 Demo and Poster Session;;Ottawa, Canada, September 27, 2015
<http://ceur-ws.org/Vol-1553/>;;Enabling Effective Policy Making 2015;;02-Feb-2016;;Proceedings of the Workshop on Enabling Effective Policy Making 2015 -;;Thessaloniki, Greece, August 31, 2015
<http://ceur-ws.org/Vol-1552/>;;RuZA 2015 Workshop;;2-Mar-2016;;Proceedings of Russian and South African Workshop on Knowledge Discovery;;Stellenbosch, South Africa, November 30 - December 5, 2015
<http://ceur-ws.org/Vol-1548/>;;Student Research Forum Papers and Posters at SOFSEM 2016;;18-Jan-2016;;Proceedings of Student Research Forum Papers and Posters at SOFSEM 2016;;Harrachov, Czech Republic, January 23-28, 2016
<http://ceur-ws.org/Vol-1547/>;;Gamification in Health 2015;;17-Jan-2016;;Proceedings of the 2nd International Workshop on Gamification in Health (gHealth 2015);;Barcelona, Spain, November 13, 2015
<http://ceur-ws.org/Vol-1546/>;;Semantic Web Applications and Tools for Life Sciences 2015;;31-Jan-2016;;Proceedings of the 8th International Conference on Semantic Web Applications and Tools for Life Sciences (SWAT4LS 2015);;Cambridge, UK, December 7-10, 2015
<http://ceur-ws.org/Vol-1545/>;;Ontology Matching 2015;;12-Jan-2016;;Proceedings of the 10th International Workshop on Ontology Matching (OM 2015);;Bethlehem, PA, USA, October 12, 2015
<http://ceur-ws.org/Vol-1544/>;;Artificial Intelligence and Robotics 2015;;08-Jan-2016;;Proceedings of 2nd Italian Workshop on Artificial Intelligence and Robotics (AIRO 2015);;Ferrara, Italy, September 22, 2015
<http://ceur-ws.org/Vol-1543/>;;Young Scientists in Technology, Engineering and Mathematics 2015;;8-Jan-2016;;Proceedings of the Symposium for Young Scientists in Technology, Engineering and Mathematics (SYSTEM 2015);;Catania, Italy, September 27-29, 2015
